Belanja Pegawai (Rupiah),Penduduk (Jiwa),Luas Daratan (km2),Luas Lautan (km2),Luas Wilayah (km2),IKK,IPM,PDRB/Capita (Rupiah),PAD (Rupiah),DBH Pajak (Rupiah),DBH SDA (Rupiah),Alokasi DAU (Rupiah),Nama Daerah
"746.524.228.854,00","1.827.064,00","634,38","219,84","854,22","103,52","78,17","47.772.509,20","1.335.283.958.792,70","129.711.396.523,00","21.168.860.803,00","1.203.737.401.000,00",Kab. Sidoarjo
"431.242.644.701,00","681.280,00","1.669,87","1.150,61","2.820,48","91,22","65,08","19.679.293,52","173.836.184.925,12","42.644.798.205,00","18.961.428.619,00","806.660.581.000,00",Kab. Situbondo
"580.124.457.170,00","1.126.724,00","1.998,54","8.613,75","10.612,29","101,01","63,42","18.768.467,16","208.982.186.960,75","92.875.291.714,00","19.399.426.645,00","1.144.489.870.000,00",Kab. Sumenep
"504.168.650.578,00","736.629,00","1.147,22","663,11","1.810,33","95,99","67,78","16.529.421,40","182.174.291.709,04","39.404.025.345,00","20.065.451.460,00","885.545.437.000,00",Kab. Trenggalek
"558.935.882.809,00","1.189.855,00","1.834,15","440,79","2.274,94","95,27","66,19","28.367.045,16","364.133.296.889,84","91.734.740.515,00","18.517.389.267,00","1.028.370.328.000,00",Kab. Tuban
"717.938.516.816,00","1.098.557,00","1.055,65","184,98","1.240,63","97,68","70,82","21.628.422,49","342.570.756.798,97","49.299.674.366,00","18.896.661.785,00","1.151.959.732.000,00",Kab. Tulungagung
"180.384.241.588,00","154.181,00","32,57","0,00","32,57","98,61","76,71","32.795.667,83","131.920.190.720,68","30.966.181.414,00","18.857.504.468,00","421.212.306.000,00",Kota Blitar
"292.155.489.586,00","287.528,00","63,40","0,00","63,40","93,22","76,33","69.134.346,30","238.318.315.508,41","73.578.900.018,00","18.857.504.468,00","606.928.225.000,00",Kota Kediri
"214.938.706.207,00","204.462,00","33,92","0,00","33,92","101,18","80,01","46.213.523,02","173.235.929.827,80","40.171.541.850,00","18.857.504.468,00","502.392.070.000,00",Kota Madiun
"442.892.582.566,00","834.545,00","145,28","0,00","145,28","96,48","80,46","52.460.725,99","477.541.556.464,64","82.445.726.042,00","18.858.118.068,00","844.576.426.000,00",Kota Malang
"169.119.888.236,00","136.583,00","16,47","0,00","16,47","95,33","76,38","35.538.761,00","152.462.202.064,56","30.163.756.647,00","18.857.504.468,00","390.118.825.000,00",Kota Mojokerto
"188.709.192.856,00","209.104,00","35,29","40,06","75,35","93,19","74,11","25.251.207,89","147.818.815.718,92","26.299.833.574,00","18.857.504.468,00","424.499.789.000,00",Kota Pasuruan
"215.187.994.262,00","232.491,00","56,67","25,03","81,70","90,78","71,50","33.056.721,20","171.307.335.436,52","34.625.801.633,00","18.857.504.468,00","461.952.836.000,00",Kota Probolinggo
"861.407.143.797,00","2.827.892,00","350,54","155,24","505,78","100,00","80,38","130.399.322,50","4.090.206.769.387,53","382.037.317.903,00","18.857.504.468,00","1.211.713.876.000,00",Kota Surabaya
"184.513.320.357,00","203.214,00","136,74","0,00","136,74","97,53","73,57","61.168.258,42","109.533.498.033,54","26.475.952.557,00","18.859.428.771,00","474.881.106.000,00",Kota Batu
"662.980.906.282,00","5.364.964,00","147.307,00","33.292,97","180.599,97","109,12","65,88","23.708.396,10","1.664.338.991.973,47","141.806.925.935,00","25.728.624.771,00","1.724.402.496.000,00",Provinsi Kalimantan Barat
"236.504.623.342,00","283.775,00","5.075,48","880,72","5.956,20","109,58","65,45","20.735.245,44","42.677.133.440,01","30.028.748.211,00","2.743.570.983,00","581.274.511.000,00",Kab. Bengkayang
"260.409.942.184,00","396.072,00","8.915,10","0,00","8.915,10","110,53","64,58","17.840.679,29","57.178.239.741,90","24.796.872.373,00","9.142.764.835,00","670.222.701.000,00",Kab. Landak
"311.184.147.494,00","237.599,00","29.842,00","0,00","29.842,00","122,27","63,83","26.970.960,59","67.135.520.050,11","39.263.838.013,00","7.653.274.133,00","975.757.515.000,00",Kab. Kapuas Hulu
"373.392.948.228,00","578.533,00","31.240,74","3.366,41","34.607,15","110,76","64,74","23.927.285,08","134.597.765.563,59","74.775.144.927,00","53.850.173.151,00","1.122.269.534.000,00",Kab. Ketapang
"254.782.157.703,00","301.715,00","2.797,88","1.165,27","3.963,15","111,89","63,84","17.544.469,69","65.094.642.233,18","15.395.827.164,00","3.223.310.720,00","583.210.092.000,00",Kab. Mempawah
"409.781.471.688,00","631.865,00","6.716,52","1.363,40","8.079,92","118,03","64,94","22.044.288,71","102.059.036.354,48","29.334.220.829,00","1.233.328.500,00","873.609.250.000,00",Kab. Sambas
"331.381.401.057,00","482.500,00","12.857,80","0,00","12.857,80","111,34","63,90","23.307.321,56","93.326.584.200,36","46.557.547.649,00","11.485.358.915,00","824.217.941.000,00",Kab. Sanggau
"339.434.334.906,00","403.095,00","21.638,20","0,00","21.638,20","103,18","64,78","23.020.309,13","108.405.524.038,92","42.243.884.807,00","9.944.088.242,00","909.410.866.000,00",Kab. Sintang
"338.403.215.267,00","655.572,00","107,80","0,00","107,80","96,89","77,63","38.947.047,97","389.368.654.493,49","44.061.120.947,00","1.860.280.116,00","699.448.985.000,00",Kota Pontianak
"215.484.882.434,00","232.993,00","504,00","143,91","647,91","105,17","70,10","28.904.370,03","103.256.348.260,36","15.774.844.469,00","1.026.019.512,00","492.487.388.000,00",Kota Singkawang
"170.343.016.753,00","208.791,00","5.444,20","0,00","5.444,20","105,36","62,52","21.143.698,73","36.602.825.350,63","18.245.234.437,00","1.458.897.475,00","504.548.895.000,00",Kab. Sekadau
"194.801.988.785,00","228.787,00","10.640,80","0,00","10.640,80","109,84","64,25","15.437.858,56","34.129.257.681,80","24.419.786.567,00","5.268.994.089,00","604.543.876.000,00",Kab. Melawi
"120.360.475.126,00","122.311,00","4.568,26","5.347,96","9.916,22","106,57","60,87","22.344.825,65","10.812.481.174,34","15.756.200.041,00","7.077.947.259,00","472.544.021.000,00",Kab. Kayong Utara
"330.735.303.994,00","601.356,00","6.958,22","1.706,95","8.665,17","108,46","65,54","22.961.281,91","101.310.299.207,01","24.306.776.775,00","1.657.375.489,00","782.647.725.000,00",Kab. Kubu Raya
"617.361.576.956,00","2.502.630,00","153.564,50","12.417,37","165.981,87","97,47","69,13","33.046.768,95","1.158.303.928.014,48","200.297.001.085,00","142.581.088.930,00","1.574.382.856.000,00",Provinsi Kalimantan Tengah
"230.733.531.648,00","123.396,00","8.830,00","0,00","8.830,00","98,09","69,00","29.896.988,25","44.019.869.814,06","28.544.267.797,00","18.394.717.752,00","576.041.341.000,00",Kab. Barito Selatan
"232.992.475.139,00","152.308,00","8.300,00","0,00","8.300,00","98,26","68,28","23.971.565,95","56.816.976.472,69","64.507.776.734,00","138.127.387.765,00","559.665.616.000,00",Kab. Barito Utara
"396.692.217.767,00","409.862,00","14.999,00","197,27","15.196,27","87,27","66,98","22.673.750,71","85.832.949.196,87","69.527.730.191,00","78.642.231.227,00","866.321.730.000,00",Kab. Kapuas
"247.648.850.066,00","244.292,00","10.759,00","996,54","11.755,54","89,37","71,13","43.765.815,73","143.330.741.728,12","55.399.479.640,00","18.019.240.592,00","652.906.913.000,00",Kab. Kotawaringin Barat
"325.556.523.740,00","408.029,00","16.796,00","593,41","17.389,41","94,33","69,42","35.944.536,17","189.388.000.097,05","135.928.759.534,00","18.220.518.376,00","820.559.562.000,00",Kab. Kotawaringin Timur
"312.761.073.522,00","258.550,00","2.399,50","0,00","2.399,50","95,21","79,21","44.079.730,81","119.961.089.336,31","27.801.577.832,00","18.361.647.403,00","646.270.544.000,00",Kota Palangkaraya
"223.322.492.592,00","147.939,00","17.500,00","549,88","18.049,88","94,19","67,41","31.831.476,37","46.280.722.191,85","22.569.958.059,00","39.205.763.541,00","696.300.554.000,00",Kab. Katingan
"159.543.104.716,00","143.414,00","16.404,00","1.008,64","17.412,64","95,67","65,40","33.036.477,05","56.880.204.216,94","65.836.968.618,00","32.579.194.897,00","616.493.956.000,00",Kab. Seruyan
"96.305.591.385,00","58.143,00","3.827,00","546,65","4.373,65","102,88","66,40","42.287.112,79","38.622.540.535,05","27.818.167.775,00","18.191.042.813,00","420.535.543.000,00",Kab. Sukamara
"143.206.604.413,00","77.251,00","6.414,00","0,00","6.414,00","96,66","68,54","40.725.757,13","45.563.687.664,14","33.643.948.487,00","23.774.102.653,00","462.248.605.000,00",Kab. Lamandau
"202.633.778.144,00","137.662,00","10.805,00","0,00","10.805,00","99,60","69,73","24.580.270,78","37.472.944.511,07","33.537.341.843,00","35.905.678.913,00","559.898.689.000,00",Kab. Gunung Mas
"202.140.204.515,00","126.381,00","8.997,00","770,11","9.767,11","96,66","66,49","29.629.274,78","38.078.419.843,66","19.428.567.116,00","18.554.005.465,00","568.390.382.000,00",Kab. Pulang Pisau
"171.180.607.750,00","105.454,00","23.700,00","0,00","23.700,00","114,62","66,96","27.228.761,30","33.853.527.199,48","43.521.632.293,00","127.828.929.887,00","667.654.598.000,00",Kab. Murung Raya
"222.567.668.524,00","109.949,00","3.834,00","0,00","3.834,00","93,87","70,33","28.597.473,58","34.431.777.297,57","23.638.573.911,00","41.364.777.522,00","478.975.191.000,00",Kab. Barito Timur
"709.610.463.253,00","3.930.251,00","38.744,23","23.014,67","61.758,90","101,67","69,05","24.520.306,78","2.500.073.656.773,58","209.216.036.918,00","835.291.935.383,00","1.118.213.289.000,00",Provinsi Kalimantan Selatan
"409.596.098.501,00","542.204,00","4.668,00","40,93","4.708,93","98,66","66,87","19.132.610,03","189.854.372.832,05","37.680.872.213,00","255.357.730.507,00","709.407.411.000,00",Kab. Banjar
"293.783.291.030,00","309.749,00","2.996,46","123,94","3.120,40","101,76","64,33","18.399.773,16","62.659.830.635,00","20.658.103.666,00","138.711.424.655,00","565.599.843.000,00",Kab. Barito Kuala
"282.822.229.203,00","221.200,00","1.804,94","0,00","1.804,94","101,56","67,52","20.307.520,69","115.118.953.303,00","60.838.023.101,00","247.853.535.489,00","522.814.008.000,00",Kab. Hulu Sungai Selatan
"274.141.933.610,00","250.782,00","1.472,00","0,00","1.472,00","100,62","67,07","19.253.599,05","96.994.158.192,00","19.268.751.697,00","141.560.344.324,00","519.741.516.000,00",Kab. Hulu Sungai Tengah
