Belanja Pegawai (Rupiah),Penduduk (Jiwa),Luas Daratan (km2),Luas Lautan (km2),Luas Wilayah (km2),IKK,IPM,PDRB/Capita (Rupiah),PAD (Rupiah),DBH Pajak (Rupiah),DBH SDA (Rupiah),Alokasi DAU (Rupiah),Nama Daerah
"1.362.292.043.598,00","5.152.887,00","57.956,00","43.769,53","101.725,53","96,41","70,00","24.189.775,36","2.060.180.945.551,33","155.200.213.661,00","20.266.427.275,00","2.060.263.235.000,00",Provinsi Aceh
"291.687.801.986,00","189.119,00","2.927,95","361,39","3.289,34","96,89","69,26","31.241.149,45","140.614.479.580,25","14.795.042.262,00","7.104.551.356,00","570.763.544.000,00",Kab. Aceh Barat
"398.026.315.681,00","384.661,00","2.969,00","1.679,50","4.648,50","96,05","71,75","26.114.065,81","135.284.494.843,71","18.715.872.355,00","2.501.083.500,00","713.344.629.000,00",Kab. Aceh Besar
"344.633.285.696,00","230.254,00","3.841,60","1.300,49","5.142,09","96,97","64,13","18.564.054,59","125.989.165.878,83","12.343.489.014,00","2.551.637.552,00","641.605.359.000,00",Kab. Aceh Selatan
"169.643.212.012,00","129.963,00","2.185,00","2.743,30","4.928,30","92,93","66,96","14.236.244,10","42.057.160.522,96","16.915.572.751,00","2.914.033.081,00","441.266.415.000,00",Kab. Aceh Singkil
"316.734.158.359,00","208.407,00","4.318,39","0,00","4.318,39","102,64","72,04","29.507.948,85","156.130.102.890,16","13.304.156.542,00","4.003.691.511,00","603.737.495.000,00",Kab. Aceh Tengah
"295.800.947.314,00","221.684,00","4.231,43","0,00","4.231,43","97,33","67,48","17.269.749,92","61.457.042.356,11","13.872.672.112,00","2.122.838.529,00","586.091.423.000,00",Kab. Aceh Tenggara
"438.627.683.675,00","422.261,00","6.286,01","963,94","7.249,95","98,98","65,42","18.768.562,42","94.345.443.632,42","60.282.687.695,00","2.132.722.677,00","786.034.858.000,00",Kab. Aceh Timur
"595.535.874.940,00","575.895,00","3.236,86","365,89","3.602,75","101,12","67,19","20.731.896,43","388.251.800.972,81","144.746.963.933,00","32.835.023.633,00","847.191.268.000,00",Kab. Aceh Utara
"490.918.363.592,00","432.870,00","1.901,20","504,12","2.405,32","100,49","70,21","23.900.078,19","186.162.575.752,23","22.386.573.384,00","2.203.549.600,00","802.618.535.000,00",Kab. Bireuen
"490.738.079.848,00","437.740,00","3.086,95","378,62","3.465,57","94,10","69,06","18.325.820,81","249.489.453.845,72","17.186.253.321,00","3.382.963.880,00","794.948.892.000,00",Kab. Pidie
"167.997.019.106,00","89.327,00","2.051,48","3.609,35","5.660,83","105,87","63,82","19.455.677,32","48.646.141.736,18","11.432.064.451,00","2.131.365.430,00","444.554.705.000,00",Kab. Simeulue
"262.218.620.879,00","238.814,00","61,36","73,54","134,90","95,52","83,73","65.356.838,90","258.591.409.669,00","29.166.831.172,00","2.139.578.369,00","591.711.772.000,00",Kota Banda Aceh
"133.582.060.203,00","40.040,00","153,00","811,20","964,20","103,76","73,36","28.079.858,09","47.776.631.104,80","14.956.837.141,00","2.278.197.427,00","350.863.359.000,00",Kota Sabang
"219.733.865.091,00","182.424,00","262,41","51,12","313,53","94,97","75,41","20.935.498,07","121.369.467.375,72","15.422.804.452,00","2.122.270.760,00","444.012.586.000,00",Kota Langsa
"198.556.463.276,00","190.624,00","181,06","154,31","335,37","97,44","75,78","33.138.942,21","56.348.631.473,02","40.719.988.794,00","2.122.838.529,00","459.628.037.000,00",Kota Lhokseumawe
"165.990.758.538,00","95.370,00","5.719,58","0,00","5.719,58","91,57","64,26","20.702.708,83","46.277.349.071,84","18.158.080.240,00","2.863.421.948,00","462.943.021.000,00",Kab. Gayo Lues
"194.504.804.110,00","148.687,00","1.490,60","313,98","1.804,58","94,53","64,57","20.498.993,25","80.496.800.924,32","10.974.251.038,00","2.488.591.404,00","451.309.794.000,00",Kab. Aceh Barat Daya
"150.546.578.568,00","86.058,00","3.812,99","1.029,28","4.842,27","95,88","67,70","23.059.518,57","45.774.374.212,02","13.086.832.755,00","2.358.622.450,00","421.315.269.000,00",Kab. Aceh Jaya
"212.555.040.869,00","167.672,00","3.363,72","533,91","3.897,63","96,79","67,32","32.078.804,11","104.202.917.806,17","16.212.197.248,00","3.052.990.040,00","507.106.599.000,00",Kab. Nagan Raya
"271.982.682.163,00","287.733,00","1.956,72","363,59","2.320,31","85,03","67,41","17.609.865,82","114.051.092.363,75","69.547.485.200,00","4.952.715.114,00","532.641.693.000,00",Kab. Aceh Tamiang
"198.738.463.792,00","154.509,00","1.454,09","0,00","1.454,09","99,16","71,42","24.054.074,90","66.454.059.144,63","12.163.579.134,00","2.132.631.813,00","448.988.545.000,00",Kab. Bener Meriah
"190.439.063.874,00","157.588,00","1.073,60","215,16","1.288,76","87,63","71,13","16.975.182,12","45.986.243.650,39","11.393.108.557,00","2.162.377.879,00","420.639.477.000,00",Kab. Pidie Jaya
"112.802.076.378,00","81.187,00","1.391,00","0,00","1.391,00","94,31","62,18","14.302.661,38","42.314.514.319,48","10.113.084.090,00","2.241.389.362,00","345.335.126.000,00",Kota Subulussalam
"1.764.856.896.510,00","14.725.093,00","72.981,23","43.154,05","116.135,28","101,49","70,00","33.785.095,00","4.954.833.100.869,03","482.868.923.457,00","24.610.963.788,00","2.629.224.545.000,00",Provinsi Sumatera Utara
"435.299.697.644,00","774.009,00","3.702,21","413,98","4.116,19","103,05","68,71","28.996.670,73","52.170.348.430,48","70.199.266.441,00","1.712.818.644,00","877.794.641.000,00",Kab. Asahan
"299.490.153.500,00","322.748,00","1.927,80","0,00","1.927,80","105,50","69,61","23.066.739,28","68.003.241.760,34","17.009.462.411,00","2.299.307.344,00","612.745.792.000,00",Kab. Dairi
"844.983.079.512,00","1.791.677,00","2.241,68","311,37","2.553,05","99,91","73,51","32.204.823,91","573.010.351.004,96","67.901.641.742,00","2.338.865.902,00","1.468.561.952.000,00",Kab. Deli Serdang
"374.181.042.350,00","399.494,00","2.127,00","0,00","2.127,00","103,84","73,29","40.687.431,20","99.913.302.299,16","20.006.200.092,00","1.785.134.244,00","738.378.312.000,00",Kab. Karo
"323.163.239.845,00","504.324,00","2.156,02","364,99","2.521,01","96,02","70,50","34.230.539,80","125.925.267.724,39","58.093.933.739,00","1.712.818.644,00","684.408.474.000,00",Kab. Labuhanbatu
"666.691.730.119,00","1.032.330,00","6.262,00","557,42","6.819,42","85,62","69,13","24.718.469,32","132.673.213.412,93","158.035.545.707,00","6.634.076.763,00","1.179.392.864.000,00",Kab. Langkat
"389.738.053.467,00","480.911,00","6.134,00","1.280,79","7.414,79","101,85","64,55","19.801.482,16","70.405.901.828,19","23.723.016.790,00","6.764.934.316,00","783.200.132.000,00",Kab. Mandailing Natal
"149.463.518.576,00","152.774,00","1.842,51","940,88","2.783,39","111,29","59,75","17.758.384,73","82.840.434.008,95","11.511.782.220,00","1.712.818.644,00","430.091.477.000,00",Kab. Nias
"689.040.942.475,00","1.025.527,00","4.369,00","0,00","4.369,00","106,03","71,48","26.001.997,41","132.560.800.825,92","48.924.960.012,00","2.044.155.144,00","1.209.194.704.000,00",Kab. Simalungun
"291.832.276.630,00","303.428,00","6.030,47","116,35","6.146,82","106,52","68,04","28.229.466,72","76.640.675.840,68","36.335.144.876,00","35.915.730.190,00","644.304.467.000,00",Kab. Tapanuli Selatan
"308.080.890.906,00","357.209,00","2.188,00","2.021,12","4.209,12","99,94","67,27","19.489.324,48","71.758.981.995,07","20.469.757.266,00","7.153.734.369,00","627.027.553.000,00",Kab. Tapanuli Tengah
"325.180.465.875,00","308.532,00","3.791,64","0,00","3.791,64","103,34","71,96","20.115.404,13","94.783.154.638,45","22.174.018.885,00","3.500.920.354,00","639.394.068.000,00",Kab. Tapanuli Utara
"241.652.724.952,00","208.194,00","2.328,89","0,00","2.328,89","99,98","73,61","26.262.340,85","54.391.304.393,22","20.398.928.874,00","2.244.365.466,00","528.490.802.000,00",Kab. Toba Samosir
"296.429.255.777,00","274.697,00","59,19","0,00","59,19","90,82","74,11","28.409.644,58","97.339.497.584,36","30.130.925.718,00","1.725.780.808,00","564.377.582.000,00",Kota Binjai
"968.111.662.482,00","2.478.145,00","265,00","25,98","290,98","103,85","79,34","64.109.081,59","1.535.309.574.014,89","222.302.906.659,00","1.712.818.644,00","1.583.624.375.000,00",Kota Medan
"298.779.272.018,00","281.357,00","55,66","0,00","55,66","107,17","76,90","32.266.968,06","101.582.731.954,78","25.475.857.764,00","1.712.818.644,00","583.106.207.000,00",Kota Pematang Siantar
"146.015.936.552,00","96.538,00","41,31","72,38","113,69","100,45","72,00","42.491.483,67","68.537.902.708,01","15.234.664.814,00","1.712.818.644,00","405.554.215.000,00",Kota Sibolga
"164.091.653.904,00","169.033,00","107,83","0,00","107,83","100,26","67,09","31.868.605,51","64.575.293.348,46","14.057.351.788,00","1.712.818.644,00","418.666.416.000,00",Kota Tanjung Balai
"181.441.667.936,00","174.323,00","31,00","0,00","31,00","102,53","73,58","23.775.425,88","94.058.491.717,40","17.101.632.350,00","1.712.818.644,00","409.399.195.000,00",Kota Tebing Tinggi
"243.845.382.704,00","228.429,00","114,66","0,00","114,66","101,70","73,42","20.644.883,09","78.417.755.706,26","18.935.505.212,00","2.122.941.994,00","498.768.033.000,00",Kota Padang Sidempuan
"108.955.522.591,00","50.445,00","1.218,30","0,00","1.218,30","98,14","65,81","18.154.063,59","18.748.805.555,76","13.070.877.210,00","1.750.288.844,00","339.271.690.000,00",Kab. Pakpak Bharat
"215.884.787.846,00","360.683,00","1.825,20","5.052,80","6.878,00","106,89","59,14","13.592.734,01","16.263.067.492,00","13.269.968.530,00","1.932.409.644,00","556.410.357.000,00",Kab. Nias Selatan
"229.181.108.518,00","195.111,00","2.335,33","0,00","2.335,33","98,25","66,56","24.129.212,47","42.096.841.516,94","18.899.391.710,00","7.038.395.415,00","523.818.445.000,00",Kab. Humbang Hasundutan
"376.566.330.312,00","642.834,00","1.900,22","604,38","2.504,60","99,74","68,77","27.584.295,25","108.062.776.483,00","42.259.174.679,00","1.712.818.644,00","763.943.386.000,00",Kab. Serdang Bedagai
"180.018.240.793,00","144.096,00","2.069,05","0,00","2.069,05","107,06","68,82","23.707.819,70","39.268.200.307,28","13.781.785.071,00","2.132.510.418,00","453.737.230.000,00",Kab. Samosir
"254.179.202.954,00","358.031,00","922,20","740,01","1.662,21","102,49","66,69","40.396.622,53","59.388.277.801,58","28.032.960.169,00","1.712.818.644,00","602.464.355.000,00",Kab. Batu Bara
"191.204.644.106,00","257.434,00","3.892,74","0,00","3.892,74","106,94","66,23","28.729.122,55","39.341.382.403,43","37.824.260.136,00","2.115.784.272,00","521.562.942.000,00",Kab. Padang Lawas
"210.002.172.537,00","268.158,00","3.918,05","0,00","3.918,05","102,18","68,05","27.490.819,59","30.453.223.133,26","39.499.481.066,00","2.013.163.777,00","537.469.609.000,00",Kab. Padang Lawas Utara
"162.487.369.858,00","318.135,00","3.596,00","0,00","3.596,00","95,87","70,28","38.083.149,43","42.507.928.168,67","60.248.981.357,00","1.775.906.801,00","504.525.796.000,00",Kab. Labuhanbatu Selatan
"231.823.659.993,00","388.576,00","3.570,98","107,89","3.678,87","96,34","70,26","35.267.714,76","42.296.115.862,21","35.914.538.746,00","1.760.259.144,00","588.021.836.000,00",Kab. Labuhanbatu Utara
"127.113.340.304,00","146.663,00","1.202,78","1.554,71","2.757,49","104,74","60,23","17.911.280,89","23.852.634.631,50","11.285.099.173,00","1.712.818.644,00","413.837.391.000,00",Kab. Nias Utara
"96.486.464.250,00","92.154,00","473,73","724,02","1.197,75","105,34","59,03","14.917.037,28","15.616.742.531,10","10.197.333.754,00","1.712.818.644,00","348.251.352.000,00",Kab. Nias Barat
"163.828.434.803,00","139.094,00","280,78","262,49","543,27","99,71","66,85","28.299.442,99","29.185.403.160,27","11.635.268.739,00","1.712.818.644,00","426.758.929.000,00",Kota Gunungsitoli                                 
"1.287.639.246.027,00","5.469.083,00","42.012,89","37.363,75","79.376,64","95,33","70,73","30.804.517,41","1.964.148.975.798,56","128.060.521.660,00","4.354.936.047,00","2.014.646.639.000,00",Provinsi Sumatera Barat
"395.147.757.782,00","374.067,00","3.571,14","0,00","3.571,14","97,86","68,37","28.558.108,60","68.060.267.475,94","17.286.600.593,00","813.497.097,00","747.073.168.000,00",Kab. Limapuluh Kota
"432.970.476.993,00","524.906,00","1.804,30","324,71","2.129,01","95,13","70,36","26.757.338,21","102.597.441.502,14","19.503.032.506,00","676.513.158,00","813.474.914.000,00",Kab. Agam  
"127.159.348.886,00","83.517,00","6.011,35","8.016,51","14.027,86","138,18","58,27","42.740.765,53","41.948.183.104,73","16.115.629.897,00","2.833.080.563,00","610.939.918.000,00",Kab. Kepulauan Mentawai
"413.027.424.745,00","462.125,00","1.332,51","625,35","1.957,86","93,61","68,44","31.797.655,90","72.859.394.000,52","12.411.160.300,00","655.463.728,00","769.827.010.000,00",Kab. Padang Pariaman    
"275.052.732.580,00","315.470,00","3.947,63","0,00","3.947,63","86,30","64,57","20.825.593,11","88.862.264.200,19","13.385.442.813,00","1.476.945.117,00","596.083.486.000,00",Kab. Pasaman    
"431.739.750.622,00","518.265,00","5.749,89","2.669,65","8.419,54","91,23","68,39","18.226.414,08","108.915.294.627,74","16.969.732.884,00","906.366.768,00","838.100.134.000,00",Kab. Pesisir Selatan
"236.389.348.914,00","233.444,00","3.130,40","0,00","3.130,40","92,20","66,01","27.580.834,56","76.833.967.628,91","12.121.725.727,00","3.479.848.404,00","548.573.107.000,00",Kab. Sijunjung                                    
"351.825.114.894,00","375.801,00","3.738,00","0,00","3.738,00","95,46","67,67","26.273.088,12","58.803.477.232,52","12.688.842.924,00","1.388.066.508,00","710.962.915.000,00",Kab. Solok
"373.472.449.495,00","366.136,00","1.336,10","0,00","1.336,10","90,65","70,11","24.870.830,06","118.971.143.693,84","14.564.478.019,00","727.502.995,00","695.555.745.000,00",Kab. Tanah Datar
"166.824.148.011,00","115.986,00","25,24","0,00","25,24","95,55","79,11","54.915.652,10","71.303.781.735,85","14.359.610.629,00","654.550.128,00","450.905.882.000,00",Kota Bukit Tinggi
"119.848.163.194,00","53.094,00","23,00","0,00","23,00","91,96","76,50","48.251.138,80","70.357.124.066,02","10.170.445.951,00","654.550.128,00","375.436.356.000,00",Kota Padang Panjang
"610.615.831.263,00","883.767,00","693,66","1.084,06","1.777,72","92,73","81,06","46.193.327,15","391.925.662.646,92","62.766.921.430,00","691.066.788,00","1.100.370.559.000,00",Kota Padang
"188.654.106.799,00","129.751,00","85,22","0,00","85,22","92,54","77,56","36.622.377,50","87.445.115.902,00","11.445.829.577,00","654.773.272,00","437.696.934.000,00",Kota Payakumbuh
"130.897.354.899,00","64.299,00","231,93","0,00","231,93","95,37","70,67","37.546.077,05","53.388.553.982,54","9.403.201.025,00","2.866.591.418,00","375.131.128.000,00",Kota Sawahlunto
"129.500.164.005,00","68.241,00","71,29","0,00","71,29","91,27","77,07","45.673.038,79","42.117.207.737,98","11.295.767.547,00","654.585.699,00","398.106.262.000,00",Kota Solok
"144.765.985.159,00","88.984,00","66,13","162,78","228,91","97,58","75,44","40.822.932,50","29.680.784.157,91","13.456.214.206,00","654.550.128,00","415.241.327.000,00",Kota Pariaman
"274.348.811.716,00","428.641,00","3.887,77","813,42","4.701,19","94,70","66,03","24.793.996,79","91.174.717.113,57","29.486.420.729,00","672.233.098,00","644.333.727.000,00",Kab. Pasaman Barat
"205.235.564.114,00","205.127,00","2.961,13","0,00","2.961,13","93,20","70,25","35.714.240,49","56.453.463.178,18","21.000.518.475,00","1.183.365.552,00","502.298.085.000,00",Kab. Dharmasraya
"186.415.976.686,00","177.462,00","3.346,20","0,00","3.346,20","94,34","67,47","22.136.567,68","51.138.125.857,00","18.833.536.449,00","1.883.053.980,00","480.406.179.000,00",Kab. Solok Selatan
"963.233.159.101,00","5.980.805,00","87.023,66","19.331,55","106.355,21","94,73","71,20","54.661.205,01","3.110.656.139.756,53","836.925.397.090,00","821.617.160.867,00","1.465.261.007.000,00",Provinsi Riau
"412.265.001.721,00","537.142,00","6.975,41","2.169,62","9.145,03","97,84","71,98","46.695.953,55","199.026.650.970,10","1.175.781.702.243,00","1.076.630.774.873,00","345.070.716.000,00",Kab. Bengkalis
"438.274.605.986,00","616.347,00","12.614,78","1.837,60","14.452,38","98,14","65,35","70.201.480,36","132.442.800.061,19","50.624.756.351,00","146.809.675.563,00","918.602.922.000,00",Kab. Indragiri Hilir
"330.378.088.918,00","421.922,00","7.723,80","0,00","7.723,80","92,10","68,67","54.169.978,99","98.755.681.238,56","102.919.439.042,00","154.902.804.959,00","646.609.433.000,00",Kab. Indragiri Hulu
"565.072.831.696,00","740.839,00","10.983,47","0,00","10.983,47","88,81","71,39","38.594.724,67","162.363.324.671,18","255.126.583.386,00","285.769.607.900,00","774.370.036.000,00",Kab. Kampar
"330.075.029.522,00","326.266,00","5.259,36","0,00","5.259,36","86,94","68,66","57.274.031,65","62.176.252.836,44","38.174.898.448,00","142.965.537.642,00","618.561.583.000,00",Kab. Kuantan Singingi
"261.666.612.374,00","365.817,00","12.758,45","731,34","13.489,79","95,15","70,21","54.852.115,56","107.077.951.960,58","149.760.740.874,00","205.486.344.574,00","610.599.637.000,00",Kab. Pelalawan
"323.038.365.584,00","631.238,00","8.881,59","1.577,26","10.458,85","99,77","67,52","42.318.313,30","94.904.441.305,20","276.813.195.102,00","388.717.430.061,00","432.022.856.000,00",Kab. Rokan Hilir
"321.272.673.134,00","553.095,00","7.588,13","0,00","7.588,13","86,20","67,86","37.195.501,82","95.812.025.221,98","91.127.421.612,00","141.884.204.686,00","654.291.480.000,00",Kab. Rokan Hulu
"315.876.274.124,00","415.128,00","8.275,18","251,45","8.526,63","98,89","72,70","53.871.542,05","164.325.689.823,87","450.250.629.436,00","361.036.903.817,00","323.293.793.000,00",Kab. Siak
"228.695.898.323,00","280.174,00","1.623,38","609,10","2.232,48","100,75","72,96","47.169.128,24","192.760.175.685,61","44.500.051.885,00","141.975.895.932,00","427.188.089.000,00",Kota Dumai
"480.838.481.830,00","886.226,00","632,27","0,00","632,27","86,89","79,69","84.993.536,32","482.031.164.869,27","115.428.508.301,00","141.479.016.222,00","798.138.148.000,00",Kota Pekanbaru
"164.082.947.921,00","206.611,00","3.707,84","1.707,68","5.415,52","107,90","63,90","43.929.608,79","52.413.812.665,25","69.386.511.545,00","167.351.037.381,00","403.426.873.000,00",Kab. Kepulauan Meranti
"731.758.072.711,00","3.469.230,00","50.058,16","3.884,54","53.942,70","88,39","69,62","36.404.850,11","1.233.514.664.109,54","217.730.745.251,00","174.244.976.870,00","1.399.367.134.000,00",Provinsi Jambi
"293.241.285.624,00","308.249,00","5.804,00","0,00","5.804,00","87,12","68,70","34.368.652,39","73.516.765.629,51","122.059.929.911,00","39.436.911.358,00","605.739.426.000,00",Kab. Batang Hari
"316.486.999.069,00","332.881,00","4.659,00","0,00","4.659,00","82,80","68,77","33.725.069,73","114.818.287.091,48","33.066.789.668,00","40.359.835.409,00","635.999.293.000,00",Kab. Bungo     
"306.997.234.646,00","235.735,00","3.355,27","0,00","3.355,27","76,81","69,68","32.968.033,84","80.850.837.269,62","13.823.830.243,00","33.933.334.045,00","589.202.611.000,00",Kab. Kerinci
"354.031.673.528,00","333.669,00","7.679,00","0,00","7.679,00","85,35","67,86","33.113.061,26","75.158.423.417,00","30.998.439.769,00","34.977.481.301,00","718.849.295.000,00",Kab. Merangin
"330.741.640.945,00","359.631,00","5.326,00","0,00","5.326,00","85,20","67,55","39.661.100,79","60.630.301.195,84","102.280.487.297,00","42.637.618.758,00","670.341.091.000,00",Kab. Muaro Jambi
"260.390.489.033,00","313.373,00","6.184,00","0,00","6.184,00","87,10","68,73","29.905.724,57","92.425.177.747,38","67.191.690.932,00","46.934.574.539,00","583.152.387.000,00",Kab. Sarolangun
"239.738.958.465,00","322.058,00","4.649,85","171,15","4.821,00","93,61","65,91","46.924.620,02","85.934.484.184,94","137.438.702.790,00","288.626.823.014,00","506.589.288.000,00",Kab. Tanjung Jabung Barat
"232.757.780.508,00","222.834,00","5.445,00","1.322,66","6.767,66","94,46","61,88","36.860.508,61","43.935.743.483,85","99.443.964.175,00","68.769.266.949,00","540.400.531.000,00",Kab. Tanjung Jabung Timur
"238.644.247.608,00","327.669,00","6.461,00","0,00","6.461,00","89,73","68,05","31.244.746,30","60.938.006.779,24","53.792.989.317,00","44.254.092.663,00","582.313.417.000,00",Kab. Tebo
"400.842.064.649,00","609.620,00","103,54","0,00","103,54","86,83","76,14","35.104.794,98","287.525.214.004,49","67.786.485.758,00","34.348.750.701,00","714.783.378.000,00",Kota Jambi
"170.657.782.995,00","103.511,00","391,50","0,00","391,50","88,14","73,35","54.943.779,19","36.632.476.994,33","11.043.152.380,00","33.932.813.555,00","422.532.652.000,00",Kota Sungai Penuh
"969.190.240.800,00","8.152.528,00","91.592,43","8.015,86","99.608,29","98,64","68,24","26.829.871,06","2.546.177.544.348,70","654.485.063.214,00","628.865.311.761,00","1.697.897.817.000,00",Provinsi Sumatera Selatan
"426.281.559.326,00","427.320,00","5.311,74","0,00","5.311,74","94,46","65,75","20.621.125,66","184.972.794.850,68","94.479.613.484,00","154.522.570.657,00","696.379.856.000,00",Kab. Lahat
"439.197.703.464,00","608.125,00","14.266,26","0,00","14.266,26","98,35","66,45","31.965.414,90","169.012.416.526,06","695.574.990.439,00","989.787.566.938,00","370.826.979.000,00",Kab. Musi Banyuasin
"363.884.275.674,00","408.597,00","6.350,10","0,00","6.350,10","102,36","64,75","20.727.849,17","96.743.870.854,93","141.012.020.785,00","201.721.997.720,00","639.753.278.000,00",Kab. Musi Rawas
"430.704.929.845,00","567.450,00","7.383,90","0,00","7.383,90","94,88","66,71","24.633.793,18","150.912.522.963,17","485.800.762.393,00","297.254.149.053,00","661.337.068.000,00",Kab. Muara Enim
"491.467.041.009,00","721.571,00","18.359,04","2.184,66","20.543,70","92,74","65,44","30.079.480,67","108.992.378.484,93","46.301.835.231,00","79.611.351.005,00","1.053.840.757.000,00",Kab. Ogan Komering Ilir
"358.293.743.920,00","357.502,00","4.797,06","0,00","4.797,06","94,14","67,47","22.655.063,41","87.578.643.415,78","77.743.975.449,00","91.320.163.747,00","636.233.972.000,00",Kab. Ogan Komering Ulu
"800.524.424.552,00","1.569.297,00","369,22","0,00","369,22","98,30","76,59","50.859.882,93","781.413.947.765,14","110.353.054.339,00","73.714.331.764,00","1.269.426.417.000,00",Kota Palembang 
"234.949.565.968,00","190.913,00","251,94","0,00","251,94","97,87","73,38","25.996.509,03","86.253.193.266,64","75.411.761.852,00","88.086.964.361,00","416.312.645.000,00",Kota Prabumulih
"187.201.123.743,00","139.867,00","633,66","0,00","633,66","100,29","65,96","16.750.014,46","51.113.017.419,90","17.048.505.566,00","73.834.293.750,00","391.943.478.000,00",Kota Pagar Alam
"242.201.780.570,00","217.119,00","401,50","0,00","401,50","104,50","73,57","22.130.810,96","75.797.426.519,36","28.571.491.763,00","73.714.331.764,00","449.082.849.000,00",Kota Lubuk Linggau
"457.140.919.746,00","803.895,00","11.832,99","1.570,05","13.403,04","104,72","65,01","19.949.931,65","104.218.245.467,43","102.775.898.092,00","103.838.110.766,00","933.631.693.000,00",Kab. Banyuasin
"343.026.421.001,00","410.529,00","2.666,09","0,00","2.666,09","104,96","65,45","16.628.317,33","109.762.617.127,69","70.134.095.532,00","74.807.051.166,00","623.348.780.000,00",Kab. Ogan Ilir
"434.837.032.736,00","633.810,00","3.370,00","0,00","3.370,00","96,59","67,38","17.194.829,32","69.357.438.646,73","21.190.566.395,00","75.896.749.031,00","767.167.031.000,00",Kab. OKU Timur
"290.359.516.694,00","410.303,00","5.493,94","0,00","5.493,94","95,27","63,42","15.771.056,16","35.696.934.794,31","20.601.908.353,00","74.516.440.014,00","598.063.061.000,00",Kab. OKU Selatan
"164.770.828.438,00","327.053,00","2.256,44","0,00","2.256,44","100,81","64,00","11.002.754,04","22.347.811.179,36","17.913.244.826,00","73.978.880.214,00","424.811.343.000,00",Kab. Empat Lawang
"77.066.072.947,00","170.497,00","1.840,00","0,00","1.840,00","94,49","61,66","17.828.376,19","26.350.314.142,41","130.061.115.070,00","89.184.617.297,00","317.402.008.000,00",Kab. Penukal Abab Lematang Ilir
"98.485.137.432,00","188.680,00","6.008,55","0,00","6.008,55","103,61","63,05","22.828.692,00","32.174.860.897,11","68.776.371.206,00","74.704.643.371,00","383.935.458.000,00",Kab. Musi Rawas Utara
"657.044.903.217,00","1.962.044,00","19.919,33","15.046,65","34.965,98","93,27","69,33","25.610.629,27","731.556.734.069,69","52.850.085.196,00","24.498.343.147,00","1.301.538.847.000,00",Provinsi  Bengkulu
"291.469.150.476,00","164.237,00","1.186,10","302,43","1.488,53","89,64","68,71","25.608.679,48","58.748.467.982,19","12.804.468.797,00","5.713.877.097,00","554.227.555.000,00",Kab. Bengkulu Selatan
"313.068.452.583,00","279.223,00","4.324,60","1.864,02","6.188,62","92,02","67,63","18.580.070,50","63.650.964.000,00","23.004.776.090,00","37.014.335.054,00","625.146.185.000,00",Kab. Bengkulu Utara
"297.483.540.485,00","275.640,00","1.639,98","0,00","1.639,98","94,04","68,34","24.976.014,61","71.294.600.225,14","13.845.448.717,00","5.393.837.434,00","593.702.491.000,00",Kab. Rejang Lebong
"331.080.120.930,00","364.604,00","151,70","356,14","507,84","95,26","77,94","46.519.914,19","110.831.838.871,99","27.798.596.392,00","5.343.333.425,00","671.384.345.000,00",Kota Bengkulu
"174.744.212.668,00","125.768,00","2.369,05","612,93","2.981,98","90,54","64,95","19.907.067,78","34.557.677.829,16","13.676.828.231,00","7.082.506.065,00","435.518.398.000,00",Kab. Kaur
"222.205.120.494,00","207.587,00","2.400,44","513,52","2.913,96","92,61","64,04","14.926.138,60","28.643.738.976,33","13.353.740.425,00","5.866.593.476,00","497.868.275.000,00",Kab. Seluma
"195.980.048.706,00","174.742,00","4.036,70","711,70","4.748,40","102,83","66,52","19.399.815,67","62.046.588.953,04","21.057.288.688,00","5.521.161.532,00","492.562.518.000,00",Kab. Mukomuko
"144.897.885.524,00","113.677,00","1.921,82","0,00","1.921,82","94,91","65,58","20.423.348,50","22.994.746.198,09","14.027.668.672,00","8.270.151.340,00","405.048.287.000,00",Kab. Lebong
"173.618.418.158,00","147.677,00","665,00","0,00","665,00","90,14","66,35","20.199.442,81","31.455.382.716,17","12.654.270.584,00","5.343.333.425,00","414.396.205.000,00",Kab. Kepahiang
"191.611.704.576,00","108.889,00","1.223,94","94,00","1.317,94","91,43","65,44","22.302.887,51","27.205.908.897,55","14.002.981.946,00","17.958.377.895,00","430.023.533.000,00",Kab. Bengkulu Tengah
"1.038.575.523.988,00","9.626.107,00","34.623,80","17.049,48","51.673,28","90,09","67,65","22.260.723,76","2.368.796.251.247,32","147.707.717.556,00","35.448.549.072,00","1.857.043.487.000,00",Provinsi  Lampung
"224.111.342.358,00","301.131,00","2.142,78","0,00","2.142,78","102,89","65,45","17.619.886,43","49.078.910.603,87","16.931.571.279,00","4.350.897.156,00","521.743.958.000,00",Kab. Lampung Barat
"513.082.346.285,00","1.269.262,00","700,32","2.035,10","2.735,42","83,53","66,19","20.486.052,00","184.063.778.379,21","28.144.415.275,00","5.532.233.800,00","1.019.207.779.000,00",Kab. Lampung Selatan
"725.828.318.016,00","1.468.875,00","3.802,68","0,00","3.802,68","84,97","68,33","27.107.093,11","137.871.550.590,80","44.294.419.833,00","5.339.316.622,00","1.319.480.688.000,00",Kab. Lampung Tengah
"527.248.769.300,00","885.591,00","2.725,87","0,00","2.725,87","86,46","65,95","17.985.338,25","98.607.164.917,00","25.932.493.041,00","5.383.633.345,00","949.774.837.000,00",Kab. Lampung Utara
